content	url	raw_date	length	date	filename
" In the afternoon, the President will participate in a family photo with outreach guests and attend outreach session two. There will be travel pool coverage of the family photo, and outreach session two is closed press.   Later in the afternoon, the President will depart Tokoname en route Hiroshima, Japan. There will be travel pool coverage of the President's departure from the Chubu Centrair International Airport and the arrival at the the Marine Corps Air Station Iwakuni is open to pre- credentialed media. The President will deliver remarks to service members at the Marine Corps Air Station Iwakuni, the remarks at the troop event are open to pre-credentialed media. Later, the President travels to Hiroshima and participates in a wreath laying at the Hiroshima Peace Memorial. The remarks and the wreath laying are open to pre-credentialed media.   In the evening, the President will depart Hiroshima, Japan en route Elmendorf, Alaska on the way back to Washington, DC. The departure from the Marine Corps Air Station Iwakuni will be open to pre-credentialed media and the arrival at Elmendorf Air Base, where Air Force One will refuel, will be covered by the travel pool. In the afternoon the President will depart Elmendorf Alaska for Washington, DC. There will be travel pool coverage of the President's departure at Elmendorf Air Base and arrival at Joint Base Andrews. The President's arrival on the South Lawn is open press.   In the morning, the Vice President will depart New York, New York en route Providence, Rhode Island.   At 12:00 PM, the Vice President will tour the East Providence Department of Transportation Maintenance Facility. This tour will be pooled press.   At 12:30 PM, the Vice President will join Governor Gina Raimondo, Senator Jack Reed, Senator Sheldon Whitehouse, Congressman Jim Langevin, and Congressman David Cicilline in highlighting the RhodeWorks infrastructure program. The Vice President's remarks at the East Providence Department of Transportation Maintenance Facility will be open press. Media inquiries and RSVPs can be directed to catherine.rolfe@governor.ri.gov.  "	obamawhitehouse.archives.gov/blog?page=23	2016-05-27T00:00:00-04:00	2120	"May 27, 2016"	160527
" In the afternoon, the President will receive the Presidential Daily Briefing in the Oval Office. This meeting is closed press."	obamawhitehouse.archives.gov/blog?page=19	2016-07-11T00:00:00-04:00	127	"July 11, 2016"	160711
" In the afternoon, the President will travel to Miami, Florida. The departure from the South Lawn is open press, and the arrival at Miami International Airport is open to pre-credentialed media.  Later in the afternoon, the President will participate in a DSCC roundtable at a private residence. The roundtable is closed press.  In the evening, the President will deliver remarks and take questions at a DNC event at a private residence.There will be print pool coverage of the President's remarks only.  In the evening, the President will depart Miami en route Palm City, Florida. The departure from Miami International Airport and the arrival at St. Lucie County International Airport are open to pre-credentialed media.  The President will remain overnight in Palm City. "	obamawhitehouse.archives.gov/blog?page=23	2016-06-03T00:00:00-04:00	774	"June 3, 2016"	160603
" In the evening, the President will deliver a statement on the passing of Supreme Court Justice Antonin Scalia.The President's statement in the Omni Rancho Las Palmas press file will be open press. "	obamawhitehouse.archives.gov/blog?page=34	2016-02-13T00:00:00-05:00	198	"February 13, 2016"	160213
" In the evening, the President will hold a bilateral meeting with Prime Minister Shinzo Abe of Japan at the Shima Kanko Hotel. There will be a pool spray at the bottom of this meeting. "	obamawhitehouse.archives.gov/blog?page=23	2016-05-25T00:00:00-04:00	185	"May 25, 2016"	160525
" In the morning and afternoon, the President will attend the second, third, fourth, and fifth sessions of the G20 Summit.These sessions at the Hangzhou International Expo Center will be closed press.   In the evening, the President will participate in a closing ceremony for the G20 Summit.This ceremony at the Hangzhou International Expo Center will be closed press.   Later in the evening, the President will hold a press conference at the JW Marriott Hotel Hangzhou.This press conference will be open to pre-credentialed media.   Afterward, the President will depart Hangzhou, China and travel to Vientiane, Laos. The departure from Hangzhou Xiaoshan International Airport and the arrival at Wattay International Airport will be open to pre-credentialed media.   The President will remain overnight in Vientiane, Laos. "	obamawhitehouse.archives.gov/blog?page=13	2016-09-05T00:00:00-04:00	822	"September 5, 2016"	160905
" In the morning the Vice President will hold a meeting with Mayor Vitaliy Klychko of Kyiv, Ukraine. This meeting in the White House will be closed press.Later in the morning, the President will hold a bilateral meeting with His Majesty King Abdullah II of Jordan; the Vice President will also attend. During their meeting, the President and King Abdullah will discuss efforts to counterISIL, resolve the Syrian conflict, address the needs of Syrian and Iraqi refugees in Jordan and how the U.S. can continue to support the Kingdom's generosity in hosting these refugees, and assist Jordan as it continues its political and economic reform initiatives. They will also discuss how best to advance prospects for a two-state solution to the Israeli-Palestinian conflict and other issues of mutual interest. There will be a pool spray at the bottom of this meeting in the Oval Office.  In the afternoon, the President will meet with the Veterans of Foreign War's National Commander John Biedrzycki and Executive Director Bob Wallace in the Oval Office. This meeting is closed press. The Vice President will host President Salvador SanchezCerenof El Salvador, President Jimmy Morales of Guatemala, and President Juan Orlando Hernandez of Honduras.The leaders will discuss their joint efforts to promote prosperity, security, and governance through the Alliance for Prosperity Plan of the Northern Triangle and the United States Strategy for Engagement with Central America.There will be a pool spray at the top of this meeting at the Blair House.Later in the afternoon, the President will sign H.R. 1428 - Judicial Redress Act of 2015 and H.R. 644 - Trade Facilitation and Trade Enforcement Act of 2015. There will be pool sprays of both signings in the Oval Office.  In the evening, the President and First Lady will invite top contemporary artists to the White House as part of its €œIn Performance at the White House€ series. The event celebrates the iconic singer, songwriter, composer and musician Ray Charles. The program will include performances by Yolanda Adams, Leon Bridges, Andra Day, Anthony Hamilton, Brittany Howard, Demi Lovato, Sam Moore, Jussie Smollett, The Band Perry and Usher with Rickey Minor as executive music director.The President's remarks will be pooled press, and the entire event will be streamed live atWhiteHouse.gov/live.  Later inthe evening, the Vice President will depart Washington, DC en route Mexico City, Mexico. "	obamawhitehouse.archives.gov/blog?page=33	2016-02-24T00:00:00-05:00	2449	"February 24, 2016"	160224
" In the morning, the First Family will arrive in Buenos Aires, Argentina. The First Family's arrival at the Ezeiza Airport is open to pre-credentialed media.Later in the morning, the President will greet with President Mauricio Macri of Argentina and hold a bilateral meeting at Casa Rasada. There will be pre-set pool coverage of the greet and a pool spray at the top of the bilateral meeting. Afterward, the President will participate in a press conference with President Macri.This press conference is open to pre-credentialed media.  In the afternoon, the President will participate in a wreath laying ceremony at the Buenos Aires Metropolitan Cathedral. There will be travel pool coverage of this ceremony.  The Vice President will meet with President Atifete Jahjaga of Kosovo at the White House. This meeting will be closed press.  Afterward, the President will meet with the staff of the U.S. Embassy to Argentina. This meeting at the Sheraton Buenos Aires Hotel & Convention Center is closed press.  Later in the afternoon, the President will hold a town hall with young people to talk about the relationship between the United States and Latin America and, more broadly, the Young Latin American Leaders initiative. This town hall at Usina del Arte is open to pre-credentialed media.  The Vice President will deliver remarks at the End Violence Against Women International conference. The Vice President's remarks at the Washington Hilton are open press.  In the evening, the President and First Lady will attend a state dinner hosted by President Mauricio Macri of Argentina. There will be pre-set pool coverage of the President and First Lady's arrival at Centro Cultural Kirchner and a pool spray at the top of the state dinner for remarks. "	obamawhitehouse.archives.gov/blog?page=30	2016-03-23T00:00:00-04:00	1754	"March 23, 2016"	160323
" In the morning, the First Family will depart Buenos Aires, Argentina en route Washington, DC. The First Family's departure at the Ezeiza Airport is open to pre-credentialed media, and in-town travel pool will accompany to the White House. The Vice President and Dr. Biden will be in Miami, Florida. There are no public events scheduled."	obamawhitehouse.archives.gov/blog?page=30	2016-03-25T00:00:00-04:00	337	"March 25, 2016"	160325
" In the morning, the President and First Lady will welcome His Excellency Sauli NiinistÃ¶, President of the Republic of Finland; Her Excellency Erna Solberg, Prime Minister of Norway; His Excellency Stefan LÃ¶fven, Prime Minister of Sweden; His Excellency Lars LÃ¸kke Rasmussen, Prime Minister of Denmark; and His Excellency SigurÃ°ur Ingi JÃ³hannsson, Prime Minister of the Republic of Iceland, to the White House for a U.S.-Nordic Leaders Summit. The President, His Excellency Sauli NiinistÃ¶, President of the Republic of Finland, and Her Excellency Erna Solberg, Prime Minister of Norway, will deliver opening remarks. The arrival ceremony in the Grand Foyer is pooled press.Later in the morning, the President will hold a multilateral meeting with the President of Finland and the Prime Ministers of Norway, Sweden, Denmark and Iceland. The President and His Excellency Stefan LÃ¶fven, Prime Minister of Sweden will deliver remarks. There will be a pool spray at the bottom of this meeting in the State Dining Room.  In the evening, the President and the First Lady will welcome the President of Finland and the Prime Ministers of Norway, Sweden, Denmark and Iceland at the North Portico. This arrival is open to pre-credentialed media. The deadline to request media credentials has passed. The President and the First Lady will then take an official photo with the President of Finland and the Prime Ministers of Norway, Sweden, Denmark and Iceland in the State Dining Room. This photo is pooled press.  Later in the evening, the President and First Lady will host a State Dinner on the South Lawn. The President, His Excellency Lars LÃ¸kke Rasmussen; Prime Minister of Denmark; and His Excellency SigurÃ°ur Ingi JÃ³hannsson, Prime Minister of the Republic of Iceland, will deliver toasts. The Vice President and Dr. Biden will also attend. There will be pooled press coverage of the toasts and the dinner's entertainment on the South Lawn.   "	obamawhitehouse.archives.gov/blog?page=25	2016-05-13T00:00:00-04:00	1949	"May 13, 2016"	160513
" In the morning, the President and the First Lady will attend the National Prayer Breakfast at the Washington Hilton. The President's remarks will be pooled press. The Vice President will host a breakfast meeting with President Juan Manuel Santos of Colombia at the Naval Observatory. This meeting is closed press.  Later in the morning, the President and the Vice President will receive the Presidential Daily Briefing in the Oval Office. This meeting is closed press.  In the afternoon, the President will welcome the 2015 NBA Champion Golden State Warriors to the White House to honor the team on winning their Championship title. This event in the East Room will be open press.  Later in the afternoon, the President will hold a bilateral meeting with President Juan Manuel Santos of Colombia; the Vice President will also attend.There will be a pool spray at the top of this meeting in the Oval Office.Afterward, the President will deliver remarks at a reception for Plan Colombia, the joint effort to create a safer, more prosperous future for Colombians.The Vice President will also attend.The President's remarks in the East Room will be pooled press.  This evening,Dr. Biden will attend a reception celebrating the USO's 75th Anniversary. Dr. Biden will deliver remarks during the event at the Hay-Adams Hotel in Washington, DC, which will be open to pre-credentialed media. "	obamawhitehouse.archives.gov/blog?page=35	2016-02-04T00:00:00-05:00	1384	"February 4, 2016"	160204
" In the morning, the President and the First Lady will participate in the White House Easter Egg Roll on the South Lawn. The event will feature live music, sports courts, cooking stations, storytelling, and Easter egg rolling. The President and First Lady's remarks are open to pre-credentialed media.   At 12:45 PM, the Vice President will deliver remarks at an event for Congressman Patrick Murphy. These remarks at a private residence will be closed press.   Later in the afternoon, the Vice President and Dr. Biden will depart Miami, Florida en route Washington, DC.   In the evening, the President will deliver the keynote address at the awards dinner for Syracuse University's Toner Prize for Excellence in Political Reporting, which recognizes the importance of quality, fact-based political journalism. There will be travel pool coverage of this event at the Andrew W. Mellon Auditorium.   "	obamawhitehouse.archives.gov/blog?page=29	2016-03-28T00:00:00-04:00	898	"March 28, 2016"	160328
" In the morning, the President and the First Lady will travel to Dallas, Texas. The departure from the South Lawn is open press, and the arrival at Dallas Love Field is open to pre-credentialed media.   In the afternoon, the President will deliver remarks at an interfaith memorial service at the Morton H. Meyerson Symphony Center with the families of the fallen police officers and members of the Dallas community. The Vice President, the First Lady, Dr. Jill Biden, former President George W. Bush, and former First Lady Laura Bush will also attend.The President's remarks will be pooled for television and open to pre-credentialed stills and correspondents.   Later in the afternoon, the President and the First Lady will meet privately with the families of the fallen police officers and those who were injured to personally express the nation's support and gratitude for their service and sacrifice. The Vice President and Dr. Jill Biden will also attend. This visit will be closed press.   In the evening, the President and the First Lady will depart Dallas, Texas en route Washington, DC. The departure from the Dallas Love Field is open to pre-credentialed media, and the arrival on the South Lawn is open press. "	obamawhitehouse.archives.gov/blog?page=19	2016-07-12T00:00:00-04:00	1222	"July 12, 2016"	160712
" In the morning, the President and the First Lady will welcome His Holiness Pope Francis to the White House. The Vice President and Dr. Biden will also attend. The arrival ceremony on the South Lawn is open to pre-credentialed press.The deadline to request media credentials has passed.  Later in the morning, the President will hold a bilateral meeting with His Holiness Pope Francis in the Oval Office. There will be a pool spray at the top of the meeting.  Afterwards, the President will have lunch with the Vice President in the Private Dining Room. This lunch is closed press. "	obamawhitehouse.archives.gov/blog?page=48	2015-09-23T00:00:00-04:00	582	"September 23, 2015"	150923
" In the morning, the President and the First Lady will welcome President Xi and Madame Peng Liyuan to the White House for an official State Visit. The Vice President and Dr. Biden will also attend. The arrival ceremony on the South Lawn is open to pre-credentialed press.The deadline to request media credentials has passed.  Later in the morning, the President will hold a restricted bilateral meeting with President Xi in the Oval Office; the Vice President will also attend. There will be a pool spray at the top of the meeting.Afterward, the President will hold an expanded bilateral meeting with President Xi in the Cabinet Room; the Vice President will also attend. There will be a pool spray at the top of the meeting.  In the afternoon, the President will hold a joint press conference with President Xi in the Rose Garden. The press conference is open to pre-credentialed press. The deadline to request media credentials has passed.  Later in the afternoon, the President will deliver remarks at an Armed Forces Full Honors Retirement Ceremony in honor of General Martin Dempsey. The President's remarks at Fort Myer are open to pre-credentialed media.In the evening, the President and the First Lady will welcome President Xi and Madame Peng Liyuan at the North Portico.This arrival is open to pre-credentialed media.The deadline to request media credentials has passed.The President and the First Lady will then take the official photo with President Xi and Madame Peng Liyuan on the Grand Staircase. The photo is pooled press.  Later, the President and the First Lady will host a State Dinner in honor of President Xi in the East Room. The Vice President and Dr. Jill Biden will also attend.The President and President Xi will each give a toast. The toast remarks during the dinner are pooled press.Following the dinner, the President and the First Lady will attend the State Dinner reception with President Xi and Madame Peng Liyuan in the State Dining Room. There will be pooled press coverage of this event.   "	obamawhitehouse.archives.gov/blog?page=48	2015-09-25T00:00:00-04:00	2025	"September 25, 2015"	150925
" In the morning, the President and the First Lady will welcome Prime Minister Lee Hsien Loong and Mrs. Lee Hsien Loong of Singapore to the White House for an Official Visit with a State Dinner. The Vice President and Dr. Biden will also attend. The arrival ceremony on the South Lawn is open to pre-credentialed media.Later in the morning, the President will hold a bilateral meeting with Prime Minister Lee Hsien Loong in the Oval Office; the Vice President will also attend. There will be a pool spray at the top of the meeting.   In the afternoon, the President will hold a joint press conference with Prime Minister Lee Hsien Loong in the East Room. The press conference is open to pre-credentialed media.   In the evening, the President and the First Lady will welcome Prime Minister Lee Hsien Loong and Mrs. Lee Hsien Loong at the North Portico.This arrival is open to pre-credentialed media. The President and the First Lady will then take an official photo with Prime Minister Lee Hsien Loong and Mrs. Lee Hsien Loong on the Grand Staircase. The photo is pooled press.   Later in the evening, the President and the First Lady will host a State Dinner in honor of Prime Minister Lee Hsien Loong in the East Room. The Vice President and Dr. Biden will also attend. The President and Prime Minister Lee Hsien Loong will each give a toast. The toast remarks during the dinner are pooled press. Following the dinner, the President and the First Lady will attend the State Dinner reception with Prime Minister Lee Hsien Loong and Mrs. Lee Hsien Loong in the State Dining Room. The Vice President and Dr. Biden will also attend. There will be pooled press coverage of the first song. "	obamawhitehouse.archives.gov/blog?page=17	2016-08-02T00:00:00-04:00	1685	"August 2, 2016"	160802
" In the morning, the President and the First Lady will welcome Prime Minister Matteo Renzi and Mrs. Agnese Landini of Italy to the White House for an Official Visit with a State Dinner. The Vice President will also attend. The arrival ceremony on the South Lawn is open to pre-credentialed media. Later in the morning, the President will hold a bilateral meeting with Prime Minister Matteo Renzi in the Oval Office. The Vice President will also attend. There will be a pool spray at the top of the meeting.   In the afternoon, the President will hold a joint press conference with Prime Minister Matteo Renzi in the Rose Garden. The press conference is open to pre-credentialed media.   In the evening, the President and the First Lady will welcome Prime Minister Matteo Renzi and Mrs. Agnese Landini at the North Portico.This arrival is open to pre-credentialed media. The President and the First Lady will then take an official photo with Prime Minister Matteo Renzi and Mrs. Agnese Landini on the Grand Staircase. The photo is pooled press.   Later in the evening, the President and the First Lady will host a State Dinner in honor of Prime Minister Matteo Renzi on the South Lawn. The Vice President and Dr. Biden will also attend. The President and Prime Minister Matteo Renzi will each give a toast. The toast remarks during the dinner are pooled press. Following the dinner, the President and the First Lady will attend the State Dinner reception with Prime Minister Matteo Renzi and Mrs. Agnese Landini on the South Lawn. There will be pooled press coverage of the first song.   "	obamawhitehouse.archives.gov/blog?page=9	2016-10-18T00:00:00-04:00	1587	"October 18, 2016"	161018
" In the morning, the President and the First Lady will welcome The Right Honorable Justin Trudeau, P.C., M.P., Prime Minister of Canada, and Mrs. Sophie Gregoire Trudeau to the White House for an Official Visit with a State Dinner. The arrival ceremony on the South Lawn is open to pre-credentialed press.The deadline to request media credentials has passed.   The Vice President and Dr. Biden will depart Jerusalem en route Amman, Jordan.  Later in the morning, the President will hold a bilateral meeting with Prime Minister Trudeau in the Oval Office. There will be a pool spray at the top of the meeting.  The Vice President and Dr. Biden will arrive at the Amman Marka International Airport. The arrival will be open press. Afterwards, the Vice President will hold a meeting with His Majesty King Abdullah II of Jordan. There will be a pool spray at the top of this meeting at the Husseiniya Palace.  In the afternoon, the President will hold a joint press conference with Prime Minister Trudeau in the Rose Garden. The press conference is open to pre-credentialed press. The deadline to request media credentials has passed.The Vice President will hold a bilateral working lunch with King Abdullah. This lunch at the Husseiniya Palace will be closed press.Dr. Biden will tour the Al Fadin Mafraa School in Mafraq, visit with students, teachers, school administrators, and learn about their educational programs. This tour will be pooled press.Afterwards,Dr. Biden will visit Za'atari refugee camp to meet with Syrian refugees and members of the international response. This visit will be pooled press. The Vice President will attend a demonstration at the Joint Training Center with King Abdullah. This demonstration will be pooled press.  In the evening, the President and the First Lady will welcome Prime Minister Trudeau and Mrs. Sophie Gregoire Trudeau at the North Portico.This arrival is open to pre-credentialed media.The deadline to request media credentials has passed.The President and the First Lady will then take the official photo with Prime Minister Trudeau and Mrs. Sophie Gregoire Trudeau on the Grand Staircase. The photo is pooled press.  Later in the evening, the President and the First Lady will host a State Dinner in honor of Prime Minister Trudeau in the East Room. The President and Prime Minister Trudeau will each give a toast. The toast remarks during the dinner are pooled press.Following the dinner, the President and the First Lady will attend the State Dinner reception with Prime Minister Trudeau and Mrs. Sophie Gregoire Trudeau in the State Dining Room. There will be pooled press coverage of this event."	obamawhitehouse.archives.gov/blog?page=31	2016-03-10T00:00:00-05:00	2647	"March 10, 2016"	160310
" In the morning, the President and the Vice President will receive the Presidential Daily Briefing in the Oval Office. FBI Director Comey, DHS Secretary Johnson, NCTC Director Rasmussen, and Deputy Attorney General Yates will join to provide an update on the investigation into the attack in Orlando, Florida. This meeting is closed press.   In the afternoon, the Vice President will attend meetings at the White House."	obamawhitehouse.archives.gov/blog?page=22	2016-06-13T00:00:00-04:00	419	"June 13, 2016"	160613
" In the morning, the President and the Vice President will receive the Presidential Daily Briefing in the Oval Office. This meeting is closed press. "	obamawhitehouse.archives.gov/blog?page=37	2016-01-11T00:00:00-05:00	149	"January 11, 2016"	160111
" In the morning, the President and the Vice President will receive the Presidential Daily Briefing in the Oval Office. This meeting is closed press.   Afterward, the President will travel to the Newark, New Jersey. The departure from the South Lawn is open press, and the arrival at Newark Liberty International Airport is open to pre-credentialed media.   While in Newark, the President will highlight the re-entry process of formerly incarcerated individuals who are working to put their lives back on track and earn their second chance. He will be joined by Senator Booker and Mayor Baraka. The President will visit a residential facility, Integrity House, and later convene a roundtable discussion at Rutgers University - Newark, Center for Law & Justice, where he will also deliver a statement. There will be travel pool coverage of the President's visit to Integrity House. There will be a travel pool spray at the top of the roundtable, and the President's statement at Rutgers University - Newark, Center for Law & Justice is pooled for TV and open to limited pre-credentialed still photographers and correspondents.   In the afternoon, the President will travel to New York, New York to deliver remarks and take questions at a DCCC event at a private residence and deliver remarks at a DNC event at Richard Rodgers Theatre. There will be print pool coverage of the President's remarks at the DCCC event and travel pool coverage of the President's remarks at the DNC event.   In the evening, the President will depart New York en route Washington, DC. The departure from Downtown Manhattan Heliport will be covered by the travel pool, the departure from Newark Liberty International Airport is open to pre-credentialed media, and the arrival on the South Lawn is open press. "	obamawhitehouse.archives.gov/blog?page=44	2015-11-02T00:00:00-05:00	1783	"November 2, 2015"	151102
" In the morning, the President and the Vice President will receive the Presidential Daily Briefing in the Oval Office. This meeting is closed press.   In the afternoon, the President will attend meetings at the White House. "	obamawhitehouse.archives.gov/blog?page=48	2015-09-21T00:00:00-04:00	224	"September 21, 2015"	150921
" In the morning, the President and the Vice President will receive the Presidential Daily Briefing in the Oval Office. This meeting is closed press.   In the afternoon, the President will attend meetings at the White House.   In the afternoon, the Vice President will alsoattend meetings at the White House.   "	obamawhitehouse.archives.gov/blog?page=5	2016-11-28T00:00:00-05:00	310	"November 28, 2016"	161128
